Symbol: B6Z19,,,,,,,Study: VOL,
Date Time,Symbol,Open,High,Low,Close,Change,Volume,Open Interest
1/4/2010,B6H10,1.6118,1.6235,1.6052,1.6085,0,107787,89500
1/5/2010,B6H10,1.6086,1.6148,1.5958,1.5992,-0.0093,102490,92891
1/6/2010,B6H10,1.5983,1.6059,1.593,1.5992,0,106294,94186
1/7/2010,B6H10,1.5998,1.6052,1.589,1.5935,-0.0057,91076,90294
1/8/2010,B6H10,1.5924,1.6105,1.5908,1.6027,0.0092,122253,91541
1/11/2010,B6H10,1.6051,1.6188,1.6027,1.6094,0.0067,80876,90697
1/12/2010,B6H10,1.6106,1.619,1.6055,1.6171,0.0077,91718,89147
1/13/2010,B6H10,1.6158,1.6301,1.6131,1.6275,0.0104,124335,80600
1/14/2010,B6H10,1.6265,1.6341,1.6244,1.6324,0.0049,81619,79418
1/15/2010,B6H10,1.6328,1.6349,1.6205,1.6253,-0.0071,103310,80265
1/19/2010,B6H10,1.6266,1.6454,1.6244,1.6355,0.0102,167504,83337
1/20/2010,B6H10,1.6355,1.6363,1.6237,1.6281,-0.0074,119239,81535
1/21/2010,B6H10,1.6287,1.6306,1.6117,1.6203,-0.0078,152749,80844
1/22/2010,B6H10,1.6186,1.6279,1.6071,1.6112,-0.0091,154629,86062
1/25/2010,B6H10,1.61,1.6256,1.609,1.6238,0.0126,99185,85011
1/26/2010,B6H10,1.6239,1.6263,1.6088,1.6139,-0.0099,137001,86475
1/27/2010,B6H10,1.6142,1.624,1.6101,1.6168,0.0029,127605,81047
1/28/2010,B6H10,1.6168,1.6273,1.6106,1.6122,-0.0046,141150,82536
1/29/2010,B6H10,1.6122,1.6174,1.5975,1.5986,-0.0136,147585,88913
2/1/2010,B6H10,1.5938,1.5975,1.5845,1.5949,-0.0037,118052,93686
2/2/2010,B6H10,1.5959,1.5992,1.5899,1.597,0.0021,98398,95712
2/3/2010,B6H10,1.5974,1.6068,1.5873,1.5891,-0.0079,101169,99097
2/4/2010,B6H10,1.5898,1.5917,1.5734,1.5752,-0.0139,165774,105598
2/5/2010,B6H10,1.5759,1.5771,1.5554,1.56,-0.0152,177023,109444
2/8/2010,B6H10,1.5599,1.5657,1.5531,1.5609,0.0009,93965,109940
2/9/2010,B6H10,1.5587,1.5745,1.5558,1.5682,0.0073,152140,116362
2/10/2010,B6H10,1.5702,1.5762,1.5567,1.5585,-0.0097,143955,123663
2/11/2010,B6H10,1.5598,1.5714,1.5555,1.5692,0.0107,154275,121728
2/12/2010,B6H10,1.5693,1.574,1.5576,1.5663,-0.0029,124733,118690
2/16/2010,B6H10,1.5663,1.5794,1.5608,1.5777,0.0114,129042,119085
2/17/2010,B6H10,1.5779,1.5813,1.5662,1.5685,-0.0092,108329,123141
2/18/2010,B6H10,1.5682,1.5687,1.5487,1.5624,-0.0061,127963,123453
2/19/2010,B6H10,1.5485,1.5493,1.5336,1.5463,-0.0161,136491,123179
2/22/2010,B6H10,1.5449,1.5519,1.5429,1.5486,0.0023,92252,123412
2/23/2010,B6H10,1.5476,1.5574,1.5391,1.5441,-0.0045,151929,125106
2/24/2010,B6H10,1.543,1.5475,1.5384,1.5396,-0.0045,121597,126872
2/25/2010,B6H10,1.541,1.5421,1.5187,1.5244,-0.0152,179695,126870
2/26/2010,B6H10,1.5262,1.5319,1.515,1.5245,1E-04,161492,128080
3/1/2010,B6H10,1.5157,1.5205,1.4778,1.5008,-0.0237,213694,127680
3/2/2010,B6H10,1.4992,1.507,1.4853,1.4948,-0.006,167511,129123
3/3/2010,B6H10,1.496,1.5131,1.4958,1.5093,0.0145,165501,132950
3/4/2010,B6H10,1.5101,1.5136,1.5005,1.5029,-0.0064,137844,133022
3/5/2010,B6H10,1.5026,1.5167,1.4992,1.5157,0.0128,167710,125525
3/8/2010,B6H10,1.5149,1.5196,1.503,1.5074,-0.0083,201237,146548
3/9/2010,B6H10,1.5058,1.5074,1.4935,1.4987,-0.0087,174635,148562
3/10/2010,B6H10,1.4998,1.5017,1.4872,1.4973,-0.0014,211025,157601
3/11/2010,B6H10,1.4982,1.5068,1.4945,1.5049,0.0076,167519,171641
3/12/2010,B6M10,1.5055,1.5235,1.5017,1.5163,0.0114,135489,172319
3/15/2010,B6M10,1.5169,1.5198,1.501,1.5036,-0.0127,102763,125848
3/16/2010,B6M10,1.5046,1.5253,1.497,1.5224,0.0188,129974,121551
3/17/2010,B6M10,1.524,1.5375,1.52,1.5321,0.0097,140584,121034
3/18/2010,B6M10,1.5311,1.5321,1.5208,1.5244,-0.0077,113497,124237
3/19/2010,B6M10,1.5238,1.5249,1.4982,1.5012,-0.0232,137733,132918
3/22/2010,B6M10,1.4998,1.51,1.4923,1.5083,0.0071,91083,128176
3/23/2010,B6M10,1.5098,1.5105,1.4965,1.5024,-0.0059,104557,130646
3/24/2010,B6M10,1.5038,1.5038,1.4856,1.4883,-0.0141,130401,132049
3/25/2010,B6M10,1.487,1.5005,1.479,1.4814,-0.0069,134281,136299
3/26/2010,B6M10,1.4808,1.4917,1.4799,1.4886,0.0072,98304,137040
3/29/2010,B6M10,1.4944,1.5013,1.4884,1.4967,0.0081,81128,138834
3/30/2010,B6M10,1.4975,1.5123,1.4966,1.5056,0.0089,119354,132818
3/31/2010,B6M10,1.5062,1.5199,1.5037,1.5174,0.0118,124791,129789
4/1/2010,B6M10,1.5179,1.5293,1.5166,1.5264,0.009,108208,129749
4/2/2010,B6M10,1.5287,1.5292,1.5176,1.5187,-0.0077,12149,128156
4/5/2010,B6M10,1.5256,1.5315,1.5213,1.5288,0.0101,42429,128968
4/6/2010,B6M10,1.5283,1.5301,1.5122,1.5268,-0.002,116144,129290
4/7/2010,B6M10,1.5261,1.5281,1.5132,1.5267,-1E-04,109268,125883
4/8/2010,B6M10,1.5225,1.528,1.5135,1.5266,-1E-04,101962,122730
4/9/2010,B6M10,1.5273,1.5388,1.5263,1.5363,0.0097,120256,118607
4/12/2010,B6M10,1.5437,1.548,1.5347,1.5371,0.0008,85929,121125
4/13/2010,B6M10,1.536,1.5445,1.5329,1.5369,-0.0002,81428,121947
4/14/2010,B6M10,1.5373,1.5488,1.5367,1.5469,0.01,88620,121193
4/15/2010,B6M10,1.5467,1.552,1.5381,1.55,0.0031,105998,122386
4/16/2010,B6M10,1.5474,1.5481,1.5353,1.5386,-0.0114,115431,120750
4/19/2010,B6M10,1.5292,1.5386,1.5186,1.5308,-0.0078,125629,119472
