Symbol: D6Z19,,,,,,,Study: VOL,
Date Time,Symbol,Open,High,Low,Close,Change,Volume,Open Interest
1/4/2010,D6H10,0.9549001,0.966,0.9508001,0.9594001,0,65454,106544
1/5/2010,D6H10,0.9602001,0.9675,0.9594001,0.9619001,0.0025,58305,107554
1/6/2010,D6H10,0.9629,0.9697,0.9606,0.9682001,0.0063,64180,112009
1/7/2010,D6H10,0.9684001,0.9716,0.9639001,0.9671,-0.0011001,64001,114441
1/8/2010,D6H10,0.9665,0.9725,0.9628,0.9691,0.002,81255,115819
1/11/2010,D6H10,0.9703,0.9755,0.9666,0.9678,-0.0013,53816,118793
1/12/2010,D6H10,0.9677001,0.9695001,0.9601,0.9634001,-0.0043999,69926,117310
1/13/2010,D6H10,0.9626,0.9718,0.9604,0.9703,0.0068999,75763,121009
1/14/2010,D6H10,0.9699001,0.978,0.9688,0.9777001,0.0074001,64159,122209
1/15/2010,D6H10,0.9778,0.9778,0.9694,0.9706,-0.0071001,60724,120665
1/19/2010,D6H10,0.9710001,0.9758,0.9662001,0.9697,-0.0009,69331,120271
1/20/2010,D6H10,0.9698001,0.9698001,0.9531,0.9548,-0.0149,102707,107837
1/21/2010,D6H10,0.9562001,0.9579,0.95,0.9519001,-0.0028999,91333,103020
1/22/2010,D6H10,0.9507,0.9556,0.943,0.9444001,-0.0075,90363,96729
1/25/2010,D6H10,0.9462001,0.9493001,0.9421,0.9458,0.0013999,62598,91633
1/26/2010,D6H10,0.9454001,0.9482,0.9352,0.9429001,-0.0028999,76805,91375
1/27/2010,D6H10,0.9407001,0.9424001,0.9354001,0.9381,-0.0048001,72301,87643
1/28/2010,D6H10,0.9399,0.9471,0.9371,0.9388,0.0007,83160,83889
1/29/2010,D6H10,0.9375001,0.9412001,0.9338,0.9350001,-0.0037999,85215,84269
2/1/2010,D6H10,0.9351,0.9424001,0.9326,0.9403,0.0052999,73537,84722
2/2/2010,D6H10,0.9425001,0.9464,0.9396,0.9438,0.0035,73210,82692
2/3/2010,D6H10,0.9459001,0.9483,0.9401,0.9419001,-0.0018999,70079,83207
2/4/2010,D6H10,0.9416,0.9437001,0.9297001,0.9329001,-0.009,101751,85310
2/5/2010,D6H10,0.9322001,0.9394001,0.9274001,0.9318,-0.0011001,125660,81297
