Symbol: E6Z19,,,,,,,Study: VOL,
Date Time,Symbol,Open,High,Low,Close,Change,Volume,Open Interest
1/4/2010,E6H10,1.4323,1.4455,1.4256,1.441,0,222047,154546
1/5/2010,E6H10,1.4407,1.4483,1.4344,1.4367,-0.0043,218547,156155
1/6/2010,E6H10,1.4362,1.4433,1.4281,1.4408,0.0041,264377,156511
1/7/2010,E6H10,1.44,1.4446,1.4296,1.4325,-0.0083,244143,161681
1/8/2010,E6H10,1.4306,1.4438,1.4261,1.4415,0.009,349099,152621
1/11/2010,E6H10,1.441,1.4555,1.4409,1.4518,0.0103,212476,160284
1/12/2010,E6H10,1.4512,1.4544,1.4452,1.4495,-0.0023,226451,161287
1/13/2010,E6H10,1.4492,1.4577,1.4455,1.4511,0.0016,271440,165939
1/14/2010,E6H10,1.45,1.4555,1.4443,1.4501,-0.001,245754,162094
1/15/2010,E6H10,1.4497,1.4511,1.4334,1.4355,-0.0146,252619,161998
1/19/2010,E6H10,1.4348,1.4413,1.4249,1.429,-0.0065,345847,164501
1/20/2010,E6H10,1.4288,1.4288,1.4078,1.4105,-0.0185,341646,171726
1/21/2010,E6H10,1.4107,1.4142,1.4027,1.4103,-0.0002,367156,175424
1/22/2010,E6H10,1.4082,1.418,1.4064,1.4134,0.0031,273576,175661
1/25/2010,E6H10,1.4147,1.4193,1.4126,1.4149,0.0015,188061,182186
1/26/2010,E6H10,1.4148,1.4177,1.404,1.4085,-0.0064,313513,184978
1/27/2010,E6H10,1.4079,1.4095,1.3991,1.4033,-0.0052,336421,187498
1/28/2010,E6H10,1.4027,1.4051,1.3929,1.3975,-0.0058,377559,188230
1/29/2010,E6H10,1.3963,1.3987,1.3858,1.3865,-0.011,356835,189248
2/1/2010,E6H10,1.386,1.3937,1.3851,1.392,0.0055,247214,183477
2/2/2010,E6H10,1.3932,1.3974,1.3884,1.3963,0.0043,266248,186878
2/3/2010,E6H10,1.3965,1.4026,1.3885,1.3902,-0.0061,323753,191466
2/4/2010,E6H10,1.3892,1.3901,1.3722,1.3743,-0.0159,410590,199200
2/5/2010,E6H10,1.3728,1.3746,1.3584,1.3635,-0.0108,466308,185942
2/8/2010,E6H10,1.3657,1.3714,1.3621,1.3671,0.0036,248079,191334
2/9/2010,E6H10,1.3658,1.384,1.3648,1.3773,0.0102,432370,197457
2/10/2010,E6H10,1.3792,1.3812,1.3676,1.3735,-0.0038,299854,200282
2/11/2010,E6H10,1.3733,1.3801,1.3594,1.3687,-0.0048,371036,202149
2/12/2010,E6H10,1.3689,1.3695,1.3531,1.3617,-0.007,341077,202939
2/16/2010,E6H10,1.3618,1.3779,1.3578,1.3756,0.0139,324124,196042
2/17/2010,E6H10,1.3759,1.3789,1.3584,1.3616,-0.014,295105,207928
2/18/2010,E6H10,1.36,1.3655,1.3496,1.3616,0,349493,202711
2/19/2010,E6H10,1.3496,1.3619,1.3442,1.3595,-0.0021,344769,198864
2/22/2010,E6H10,1.3617,1.3654,1.3572,1.3607,0.0012,220909,198757
2/23/2010,E6H10,1.36,1.3692,1.3497,1.3522,-0.0085,392299,208474
2/24/2010,E6H10,1.3513,1.3627,1.3502,1.3525,0.0003,328468,208806
2/25/2010,E6H10,1.354,1.3571,1.3451,1.3544,0.0019,390663,216056
2/26/2010,E6H10,1.3542,1.3684,1.353,1.3621,0.0077,387238,218055
3/1/2010,E6H10,1.3624,1.3654,1.346,1.3575,-0.0046,364593,221432
3/2/2010,E6H10,1.3569,1.3623,1.3433,1.36,0.0025,377648,218803
3/3/2010,E6H10,1.3608,1.3737,1.3592,1.37,0.01,375696,219325
3/4/2010,E6H10,1.3694,1.3713,1.355,1.3577,-0.0123,378383,228469
3/5/2010,E6H10,1.3581,1.363,1.353,1.3623,0.0046,326650,225693
3/8/2010,E6H10,1.3641,1.3705,1.3605,1.3633,0.001,276765,236042
3/9/2010,E6H10,1.3628,1.3636,1.3536,1.3593,-0.004,359707,243524
3/10/2010,E6H10,1.3601,1.368,1.3544,1.3651,0.0058,365021,250413
3/11/2010,E6H10,1.3655,1.3688,1.362,1.3673,0.0022,329214,247391
3/12/2010,E6M10,1.3674,1.3796,1.3668,1.3757,0.0084,350092,248161
3/15/2010,E6M10,1.3762,1.3776,1.3639,1.3673,-0.0084,225817,163138
3/16/2010,E6M10,1.3678,1.3785,1.3658,1.3757,0.0084,289316,163822
3/17/2010,E6M10,1.3771,1.3819,1.3727,1.3754,-0.0003,255263,162897
3/18/2010,E6M10,1.3736,1.3742,1.3587,1.362,-0.0134,310345,177677
3/19/2010,E6M10,1.3609,1.3628,1.3503,1.3536,-0.0084,287108,188159
3/22/2010,E6M10,1.3531,1.3569,1.3463,1.3544,0.0008,303395,187022
3/23/2010,E6M10,1.3565,1.357,1.3475,1.3489,-0.0055,324287,195287
3/24/2010,E6M10,1.3496,1.3501,1.3312,1.3338,-0.0151,413489,207909
3/25/2010,E6M10,1.3325,1.3388,1.3266,1.3291,-0.0047,380348,213994
3/26/2010,E6M10,1.3284,1.3425,1.3268,1.34,0.0109,344651,211758
3/29/2010,E6M10,1.3467,1.3506,1.3418,1.3464,0.0064,235274,220257
3/30/2010,E6M10,1.3476,1.3538,1.3396,1.3421,-0.0043,305410,223554
3/31/2010,E6M10,1.3421,1.3549,1.3385,1.351,0.0089,376429,216215
4/1/2010,E6M10,1.3507,1.3593,1.346,1.357,0.006,313609,208137
4/2/2010,E6M10,1.3587,1.3593,1.3477,1.3486,-0.0084,55165,200456
4/5/2010,E6M10,1.3492,1.3539,1.346,1.3484,-0.0002,128561,201323
4/6/2010,E6M10,1.3483,1.3498,1.3355,1.3394,-0.009,311035,208883
4/7/2010,E6M10,1.3396,1.3409,1.3326,1.3372,-0.0022,289763,216539
4/8/2010,E6M10,1.3341,1.3367,1.3283,1.3351,-0.0021,313986,223157
4/9/2010,E6M10,1.3357,1.3506,1.3342,1.3456,0.0105,383025,208370
4/12/2010,E6M10,1.3628,1.3694,1.3567,1.3588,0.0132,305801,210563
4/13/2010,E6M10,1.359,1.3629,1.3546,1.3596,0.0008,246990,203199
4/14/2010,E6M10,1.3616,1.3682,1.3595,1.3656,0.006,313084,203485
4/15/2010,E6M10,1.3652,1.3669,1.3523,1.3576,-0.008,304135,196334
4/16/2010,E6M10,1.358,1.3583,1.3474,1.3498,-0.0078,341447,201574
4/19/2010,E6M10,1.348,1.35,1.3417,1.3475,-0.0023,257248,202305
4/20/2010,E6M10,1.349,1.3525,1.3429,1.3441,-0.0034,272454,208291
4/21/2010,E6M10,1.3443,1.3449,1.3359,1.3405,-0.0036,274640,215004
4/22/2010,E6M10,1.3391,1.3424,1.3276,1.3315,-0.009,450374,227926
4/23/2010,E6M10,1.3291,1.3402,1.3202,1.3388,0.0073,424410,227155
4/26/2010,E6M10,1.335,1.3399,1.3292,1.3345,-0.0043,296110,232668
4/27/2010,E6M10,1.3393,1.3415,1.3165,1.3209,-0.0136,541151,238298
4/28/2010,E6M10,1.3165,1.3268,1.3117,1.3189,-0.002,609313,243718
4/29/2010,E6M10,1.3211,1.3281,1.3186,1.3246,0.0057,361927,247397
4/30/2010,E6M10,1.3241,1.3344,1.3227,1.3308,0.0062,362822,245894
5/3/2010,E6M10,1.3333,1.3335,1.3156,1.3214,-0.0094,250931,254083
5/4/2010,E6M10,1.319,1.3216,1.2982,1.3005,-0.0209,472123,261076
5/5/2010,E6M10,1.2977,1.2999,1.2806,1.2827,-0.0178,574373,277888
5/6/2010,E6M10,1.2819,1.2859,1.2525,1.2603,-0.0224,833803,288985
5/7/2010,E6M10,1.2643,1.2803,1.2591,1.274,0.0137,675510,259340
5/10/2010,E6M10,1.2922,1.3097,1.2758,1.2802,0.0062,611113,299154
5/11/2010,E6M10,1.279,1.2804,1.2652,1.2696,-0.0106,427558,287589
5/12/2010,E6M10,1.2636,1.2742,1.2607,1.2634,-0.0062,317484,286887
5/13/2010,E6M10,1.2633,1.2687,1.2516,1.2565,-0.0069,291165,289678
5/14/2010,E6M10,1.2526,1.2578,1.2355,1.2387,-0.0178,465529,297171
5/17/2010,E6M10,1.2353,1.2417,1.2235,1.2389,0.0002,496312,302990
5/18/2010,E6M10,1.2399,1.2447,1.2163,1.2207,-0.0182,557679,300526
5/19/2010,E6M10,1.2172,1.2425,1.214,1.2376,0.0169,644867,299881
5/20/2010,E6M10,1.2424,1.26,1.2297,1.2568,0.0192,610759,299606
5/21/2010,E6M10,1.2475,1.2674,1.2465,1.2587,0.0019,436736,287524
5/24/2010,E6M10,1.255,1.2565,1.2346,1.2402,-0.0185,283419,283513
5/25/2010,E6M10,1.2353,1.2358,1.2181,1.2318,-0.0084,405665,281966
5/26/2010,E6M10,1.2371,1.238,1.217,1.2201,-0.0117,358036,283052
5/27/2010,E6M10,1.2166,1.2397,1.2155,1.2379,0.0178,489338,282579
5/28/2010,E6M10,1.236,1.2456,1.2267,1.2324,-0.0055,376442,280636
6/1/2010,E6M10,1.2283,1.2357,1.2112,1.2258,-0.0066,542112,275266
6/2/2010,E6M10,1.2216,1.2276,1.2175,1.224,-0.0018,341794,267862
6/3/2010,E6M10,1.225,1.2328,1.2152,1.2178,-0.0062,373903,281105
6/4/2010,E6M10,1.2165,1.2217,1.1955,1.1966,-0.0212,549696,276740
6/7/2010,E6M10,1.1952,1.1992,1.1874,1.1936,-0.003,423561,290131
6/8/2010,E6M10,1.1919,1.201,1.1902,1.1924,-0.0012,503624,305060
6/9/2010,E6M10,1.1964,1.2074,1.1924,1.1985,0.0061,463351,301584
6/10/2010,E6M10,1.1983,1.2144,1.1957,1.2096,0.0111,520268,314213
6/11/2010,E6U10,1.2118,1.2164,1.2054,1.2084,-0.0012,358632,311524
6/14/2010,E6U10,1.2128,1.2309,1.2124,1.2251,0.0167,305797,226569
6/15/2010,E6U10,1.2221,1.236,1.2177,1.2343,0.0092,330675,227632
6/16/2010,E6U10,1.233,1.2363,1.2263,1.2322,-0.0021,256879,225067
6/17/2010,E6U10,1.2312,1.2423,1.2251,1.2387,0.0065,317141,221846
6/18/2010,E6U10,1.2387,1.2426,1.2362,1.2371,-0.0016,189891,218860
6/21/2010,E6U10,1.2439,1.2477,1.2311,1.2328,-0.0043,258246,221537
6/22/2010,E6U10,1.233,1.2362,1.2258,1.2273,-0.0055,282493,224050
6/23/2010,E6U10,1.2278,1.2352,1.2216,1.2329,0.0056,312858,228541
6/24/2010,E6U10,1.2317,1.2395,1.2268,1.2338,0.0009,343254,223764
6/25/2010,E6U10,1.2337,1.2402,1.226,1.2393,0.0055,299503,222871
6/28/2010,E6U10,1.2384,1.2404,1.227,1.2292,-0.0101,250867,222496
6/29/2010,E6U10,1.2286,1.2296,1.2157,1.2214,-0.0078,330491,225752
6/30/2010,E6U10,1.2198,1.2311,1.2172,1.2248,0.0034,345966,226325
7/1/2010,E6U10,1.2239,1.2545,1.2197,1.2481,0.0233,481183,229954
