Symbol: J6Z19,,,,,,,Study: VOL,
Date Time,Symbol,Open,High,Low,Close,Change,Volume,Open Interest
1/4/2010,J6H10,1.0763,1.0852,1.0731,1.0804,0,95962,101041
1/5/2010,J6H10,1.0822,1.0964,1.0804,1.0903,0.0099,110180,104231
1/6/2010,J6H10,1.0906,1.093,1.0785,1.0825,-0.0078,110917,112456
1/7/2010,J6H10,1.0833,1.0859,1.071,1.074,-0.0085,111677,114189
1/8/2010,J6H10,1.069,1.0843,1.0679,1.0801,0.0061,138410,115363
1/11/2010,J6H10,1.0807,1.0896,1.0795,1.0864,0.0063,69451,114429
1/12/2010,J6H10,1.0864,1.1026,1.0821,1.0991,0.0127,143640,120568
1/13/2010,J6H10,1.0979,1.1005,1.0926,1.0939,-0.0052,99977,119749
1/14/2010,J6H10,1.0948,1.1011,1.0867,1.0994,0.0055,120169,118573
1/15/2010,J6H10,1.0964,1.1041,1.0953,1.1004,0.001,92213,118953
1/19/2010,J6H10,1.1002,1.1076,1.0959,1.098,-0.0024,132198,122367
1/20/2010,J6H10,1.0975,1.1018,1.0935,1.0967,-0.0013,102604,121913
1/21/2010,J6H10,1.0962,1.11,1.0886,1.1065,0.0098,182682,121609
1/22/2010,J6H10,1.1062,1.1141,1.1044,1.1132,0.0067,150616,118983
1/25/2010,J6H10,1.1121,1.1137,1.1071,1.1081,-0.0051,73447,118650
1/26/2010,J6H10,1.1083,1.1196,1.1044,1.115,0.0069,156625,119819
1/27/2010,J6H10,1.1158,1.1221,1.1101,1.1119,-0.0031,129770,117095
1/28/2010,J6H10,1.1115,1.1156,1.1044,1.1123,0.0004,144719,117522
1/29/2010,J6H10,1.1123,1.1164,1.0999,1.1078,-0.0045,156045,117463
2/1/2010,J6H10,1.1088,1.1114,1.0996,1.1034,-0.0044,98762,113970
2/2/2010,J6H10,1.1028,1.108,1.1001,1.1068,0.0034,100973,116129
2/3/2010,J6H10,1.1064,1.1103,1.0957,1.0994,-0.0074,150286,112960
2/4/2010,J6H10,1.0992,1.129,1.0981,1.1215,0.0221,218278,121034
2/5/2010,J6H10,1.1218,1.1261,1.1126,1.1216,1E-04,189403,120920
2/8/2010,J6H10,1.1213,1.122,1.1167,1.1193,-0.0023,73217,118435
2/9/2010,J6H10,1.1207,1.1212,1.1136,1.1157,-0.0036,123409,120060
2/10/2010,J6H10,1.1138,1.1207,1.1104,1.1125,-0.0032,122210,117663
2/11/2010,J6H10,1.1118,1.1166,1.1095,1.1144,0.0019,87065,118930
2/12/2010,J6H10,1.1145,1.1164,1.106,1.1119,-0.0025,139827,119636
2/16/2010,J6H10,1.1108,1.1149,1.1049,1.1095,-0.0024,118314,119816
2/17/2010,J6H10,1.1089,1.1094,1.0939,1.0974,-0.0121,139211,120701
2/18/2010,J6H10,1.0969,1.1043,1.0893,1.0951,-0.0023,140319,124471
2/19/2010,J6H10,1.0871,1.093,1.0852,1.0901,-0.005,107595,126345
2/22/2010,J6H10,1.0914,1.0988,1.0881,1.0967,0.0066,81900,125865
2/23/2010,J6H10,1.0967,1.1124,1.0954,1.1089,0.0122,144967,122919
2/24/2010,J6H10,1.1084,1.1141,1.1068,1.1094,0.0005,93912,123870
2/25/2010,J6H10,1.109,1.1262,1.1073,1.1219,0.0125,155619,130735
2/26/2010,J6H10,1.1216,1.1269,1.1174,1.1253,0.0034,96796,128641
3/1/2010,J6H10,1.1245,1.126,1.1176,1.123,-0.0023,80246,130986
3/2/2010,J6H10,1.1216,1.1294,1.1188,1.128,0.005,100413,133600
3/3/2010,J6H10,1.1266,1.1323,1.1236,1.1314,0.0034,114324,136296
3/4/2010,J6H10,1.13,1.1346,1.1203,1.1224,-0.009,126899,135701
3/5/2010,J6H10,1.1222,1.1224,1.1038,1.1068,-0.0156,161096,136967
3/8/2010,J6H10,1.1063,1.1092,1.1027,1.1071,0.0003,106921,133343
3/9/2010,J6H10,1.1073,1.1158,1.1071,1.1117,0.0046,159803,137443
3/10/2010,J6H10,1.112,1.1124,1.1009,1.1047,-0.007,166544,140502
3/11/2010,J6H10,1.1047,1.1085,1.1024,1.1038,-0.0009,131905,147864
3/12/2010,J6M10,1.1041,1.1096,1.0984,1.1053,0.0015,136846,142500
3/15/2010,J6M10,1.1038,1.1074,1.1018,1.106,0.0007,71233,90458
3/16/2010,J6M10,1.1056,1.1121,1.1027,1.1085,0.0025,125623,95999
3/17/2010,J6M10,1.1085,1.1114,1.1028,1.1094,0.0009,95452,97981
3/18/2010,J6M10,1.1076,1.1148,1.1017,1.108,-0.0014,126327,98126
3/19/2010,J6M10,1.1071,1.108,1.1028,1.1057,-0.0023,76831,96705
3/22/2010,J6M10,1.1057,1.1139,1.1022,1.1101,0.0044,90444,100744
3/23/2010,J6M10,1.1106,1.1108,1.1057,1.1065,-0.0036,69836,96913
3/24/2010,J6M10,1.1061,1.1074,1.0827,1.0863,-0.0202,182212,103938
3/25/2010,J6M10,1.0856,1.0904,1.0762,1.0782,-0.0081,137489,103873
3/26/2010,J6M10,1.0792,1.0838,1.0769,1.0813,0.0031,89479,105621
3/29/2010,J6M10,1.0821,1.0834,1.0781,1.0809,-0.0004,64362,107443
3/30/2010,J6M10,1.081,1.0859,1.0754,1.0778,-0.0031,96633,109417
3/31/2010,J6M10,1.0778,1.0786,1.0683,1.0703,-0.0075,152105,110789
4/1/2010,J6M10,1.0706,1.0724,1.0637,1.0662,-0.0041,104063,112069
4/2/2010,J6M10,1.0659,1.0695,1.0558,1.0566,-0.0096,29458,112511
4/5/2010,J6M10,1.0565,1.0633,1.0565,1.0614,0.0048,51878,113085
4/6/2010,J6M10,1.0604,1.0681,1.0599,1.0653,0.0039,101459,123837
4/7/2010,J6M10,1.0668,1.074,1.0612,1.0728,0.0075,113253,128064
4/8/2010,J6M10,1.0725,1.0777,1.0701,1.071,-0.0018,106728,130816
4/9/2010,J6M10,1.071,1.0745,1.0667,1.0727,0.0017,91706,129737
4/12/2010,J6M10,1.0742,1.0753,1.0687,1.0737,0.001,70908,130073
4/13/2010,J6M10,1.0735,1.0807,1.0709,1.0738,1E-04,125690,131723
4/14/2010,J6M10,1.0736,1.0778,1.0673,1.0742,0.0004,122216,130260
4/15/2010,J6M10,1.0728,1.0774,1.0697,1.0745,0.0003,100281,128832
4/16/2010,J6M10,1.0746,1.0887,1.0742,1.0859,0.0114,186061,133531
4/19/2010,J6M10,1.0877,1.0923,1.0819,1.0825,-0.0034,99123,130028
4/20/2010,J6M10,1.0825,1.0828,1.0711,1.0734,-0.0091,96400,134324
4/21/2010,J6M10,1.0734,1.0765,1.0705,1.0753,0.0019,91288,132586
4/22/2010,J6M10,1.0738,1.0788,1.0685,1.0716,-0.0037,151759,136185
4/23/2010,J6M10,1.0706,1.072,1.06,1.0639,-0.0077,126361,144086
4/26/2010,J6M10,1.0634,1.065,1.0601,1.0632,-0.0007,82152,140544
4/27/2010,J6M10,1.0638,1.0779,1.0638,1.0744,0.0112,180390,137780
4/28/2010,J6M10,1.0742,1.0758,1.0605,1.0609,-0.0135,164028,141419
4/29/2010,J6M10,1.0627,1.066,1.0609,1.064,0.0031,72681,140336
4/30/2010,J6M10,1.0633,1.067,1.0576,1.0651,0.0011,129302,146668
5/3/2010,J6M10,1.065,1.066,1.0552,1.0576,-0.0075,80127,148064
5/4/2010,J6M10,1.0579,1.0606,1.0532,1.0597,0.0021,125998,147243
5/5/2010,J6M10,1.0568,1.0696,1.0532,1.068,0.0083,184735,146194
5/6/2010,J6M10,1.065,1.1375,1.0645,1.1249,0.0569,376576,146900
5/7/2010,J6M10,1.1019,1.1123,1.0727,1.0941,-0.0308,375153,145541
5/10/2010,J6M10,1.08,1.0916,1.0694,1.0738,-0.0203,161786,145571
5/11/2010,J6M10,1.0719,1.0848,1.071,1.0781,0.0043,119463,146389
5/12/2010,J6M10,1.0793,1.0821,1.0723,1.0732,-0.0049,100855,143176
5/13/2010,J6M10,1.073,1.0803,1.0681,1.0774,0.0042,113044,142861
5/14/2010,J6M10,1.0787,1.0896,1.0743,1.0848,0.0074,137542,143202
5/17/2010,J6M10,1.0835,1.0903,1.0791,1.0811,-0.0037,133489,141736
5/18/2010,J6M10,1.08,1.0862,1.0759,1.084,0.0029,131551,142699
5/19/2010,J6M10,1.0873,1.0998,1.084,1.0925,0.0085,203726,144431
5/20/2010,J6M10,1.0898,1.1246,1.0887,1.1106,0.0181,298078,151157
5/21/2010,J6M10,1.1203,1.1212,1.1056,1.1141,0.0035,223166,146173
5/24/2010,J6M10,1.1093,1.1147,1.1039,1.1057,-0.0084,126971,142213
5/25/2010,J6M10,1.1079,1.1209,1.1076,1.1099,0.0042,174339,140769
5/26/2010,J6M10,1.1073,1.1136,1.1031,1.1108,0.0009,146291,137954
5/27/2010,J6M10,1.1115,1.1127,1.0976,1.1011,-0.0097,142361,133071
5/28/2010,J6M10,1.0999,1.104,1.0941,1.1017,0.0006,126459,132339
6/1/2010,J6M10,1.0999,1.1047,1.0916,1.0963,-0.0054,173085,133365
6/2/2010,J6M10,1.0994,1.0994,1.0828,1.0849,-0.0114,133441,132673
6/3/2010,J6M10,1.0849,1.0867,1.0775,1.079,-0.0059,114914,132862
6/4/2010,J6M10,1.08,1.0942,1.0767,1.0938,0.0148,190512,133997
6/7/2010,J6M10,1.0879,1.0993,1.086,1.0905,-0.0033,199064,136674
6/8/2010,J6M10,1.0935,1.1009,1.0878,1.0953,0.0048,199847,133010
6/9/2010,J6M10,1.0924,1.0983,1.0909,1.0975,0.0022,165618,128728
6/10/2010,J6M10,1.0952,1.1007,1.0931,1.0961,-0.0014,204546,133842
6/11/2010,J6U10,1.0956,1.0984,1.0912,1.0936,-0.0025,155548,129723
6/14/2010,J6U10,1.0915,1.0956,1.0872,1.0941,0.0005,102412,79584
6/15/2010,J6U10,1.0929,1.0996,1.0922,1.0963,0.0022,116237,82217
6/16/2010,J6U10,1.0945,1.0993,1.0906,1.0951,-0.0012,112738,83144
6/17/2010,J6U10,1.0957,1.1064,1.095,1.1029,0.0078,154208,93513
6/18/2010,J6U10,1.1012,1.1071,1.1008,1.1037,0.0008,87790,88830
6/21/2010,J6U10,1.1064,1.109,1.0944,1.1005,-0.0032,129429,84150
6/22/2010,J6U10,1.0999,1.1085,1.099,1.1064,0.0059,111381,91415
6/23/2010,J6U10,1.1065,1.116,1.1053,1.1147,0.0083,115503,97267
6/24/2010,J6U10,1.1135,1.1223,1.1128,1.1183,0.0036,133918,104035
6/25/2010,J6U10,1.1172,1.124,1.1152,1.1201,0.0018,113873,107553
6/28/2010,J6U10,1.1208,1.1243,1.119,1.1201,0,85494,111711
6/29/2010,J6U10,1.1201,1.1341,1.1196,1.1313,0.0112,156475,120484
6/30/2010,J6U10,1.1304,1.1331,1.1279,1.1315,0.0002,132491,121082
7/1/2010,J6U10,1.1328,1.1512,1.1305,1.1444,0.0129,207965,128258
7/2/2010,J6U10,1.1411,1.1465,1.135,1.141,-0.0034,141798,128130
7/6/2010,J6U10,1.141,1.1459,1.1376,1.1448,0.0038,143554,135128
